product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/dnd-dhoes-party-wear-women/p/itmea84526d527b9?pid=SHOHD9CJAGV75USZ&lid=LSTSHOHD9CJAGV75USZYKK890&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHD9CJAGV75USZ.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,DND Dhoes Party Wear For Women,DND ,379,0.81,,
https://www.flipkart.com/k-footlance-stylish-walking-partywear-sneakers-casual-shoes-women/p/itm0d77730e70a9b?pid=SHOGJ2W8QVCZUSYW&lid=LSTSHOGJ2W8QVCZUSYWFI0KZL&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-oc3OUZwTnpuuMQFkwuE7_zhLmBxUGbpjL3liwdllpdYg%3D%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Stylish Walking Partywear Sneakers Casual Shoes Walking Shoes For Women,K' Footlance ,397,0.6,3.9,12392
https://www.flipkart.com/trenz-shiv-nareshrunning-shoes-women-running/p/itm72d6d9ba08b45?pid=SHOHEYQRT6YJPQZY&lid=LSTSHOHEYQRT6YJPQZYBUMPLT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_36&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHEYQRT6YJPQZY.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,by Shiv NareshRunning Shoes For Women Running Shoes For Women,Trenz ,2199,,,
https://www.flipkart.com/campus-siren-women-s-sports-shoes-integrated-nitrofly-technology-mesh-upper-lace-up-running-women/p/itmdefeca73bfbf3?pid=SHOHFS58HWNQGMHH&lid=LSTSHOHFS58HWNQGMHHYVDMEW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_39&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHFS58HWNQGMHH.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,SIREN Women's Sports Shoes | Integrated NitroFly Technology |Mesh Upper |Lace-Up Running Shoes For Women,CAMPUS ,1221,0.44,4.4,2134
https://www.flipkart.com/k-footlance-stylish-walking-partywear-sneakers-casual-shoes-women/p/itm9092b85991653?pid=SHOGJ2W89XZEDHUZ&lid=LSTSHOGJ2W89XZEDHUZC5ESAV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=en_2QoUo5K34gYrl_JLVq2lq0Ls6n6U-ZwiJH-HP4enHyR2brZWHqd3oMwUSwbvmM2DH95oWs5JDxMFICS8--jVrg%3D%3D&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,Stylish Walking Partywear Sneakers Casual Shoes Walking Shoes For Women,K' Footlance ,397,0.6,3.9,12392
https://www.flipkart.com/k-footlance-stylish-walking-partywear-sneakers-casual-shoes-women/p/itm8a182ef37e4be?pid=SHOGJ2W8HZZUSDSW&lid=LSTSHOGJ2W8HZZUSDSW62WIKJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=en_2QoUo5K34gYrl_JLVq2lq0Ls6n6U-ZwiJH-HP4enHyRtr4meHt-QuXJSPd_VJZY7QInxY9okCElxQCWX4DGyJQ%3D%3D&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,Stylish Walking Partywear Sneakers Casual Shoes Walking Shoes For Women,K' Footlance ,336,0.66,3.9,12392
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itm49516edb35b9a?pid=SHOGHU8DSNH5PGZF&lid=LSTSHOGHU8DSNH5PGZFSDO9RL&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_45&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOGHU8DSNH5PGZF.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women,CAMPUS ,999,0.28,4.2,46254
https://www.flipkart.com/hrx-hrithik-roshan-059-01-running-shoes-women/p/itm26b8d4a377133?pid=SHOGRENUHF44HHKH&lid=LSTSHOGRENUHF44HHKHU0INJA&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=en_2QoUo5K34gYrl_JLVq2lq0Ls6n6U-ZwiJH-HP4enHySME9ZAau27Zb90T07qbo8d5QhVDC0LAktpZjoFXqdmsQ%3D%3D&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,-059 01 Running Shoes For Women,HRX by Hrithik Roshan ,1299,0.65,4.2,2470
https://www.flipkart.com/blinder-women-s-girls-trendy-lightweight-comfortable-casual-wear-lace-up-shoes-running-women/p/itma7021f26b33cf?pid=SHOFY3CN3SXPZGHK&lid=LSTSHOFY3CN3SXPZGHKSTJTE1&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=en_2QoUo5K34gYrl_JLVq2lq0Ls6n6U-ZwiJH-HP4enHySEbuo029RhdaedTYXRqjN3tqlnU3fKftlwXr80ehvrXg%3D%3D&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,Women's | Girls Trendy Lightweight Comfortable Casual wear Lace-Up Shoes Running Shoes For Women,BLINDER ,584,0.41,4,2508
https://www.flipkart.com/sparx-sl-167-running-shoes-women/p/itmd15ed0a5de2ce?pid=SHOGYAFQPFEGZ2N2&lid=LSTSHOGYAFQPFEGZ2N2DGVP4G&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_50&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOGYAFQPFEGZ2N2.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,SL 167 Running Shoes For Women,Sparx ,979,0.1,4.3,14597
https://www.flipkart.com/k-footlance-stylish-walking-partywear-sneakers-casual-shoes-women/p/itm0d77730e70a9b?pid=SHOGJ2W8QVCZUSYW&lid=LSTSHOGJ2W8QVCZUSYWFI0KZL&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=Search&iid=en_2QoUo5K34gYrl_JLVq2lq0Ls6n6U-ZwiJH-HP4enHyQHx81xmgurdDvaJ9G98gv14lkdf_iboj4ofvvqRSlx_Q%3D%3D&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,Stylish Walking Partywear Sneakers Casual Shoes Walking Shoes For Women,K' Footlance ,397,0.6,3.9,12392
https://www.flipkart.com/asian-mercury-11-black-sports-gym-walking-training-stylish-running-shoes-women/p/itmd6332e857f3ab?pid=SHOGPFGZGHRRHDYQ&lid=LSTSHOGPFGZGHRRHDYQ3ZBDPJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_52&otracker=search&otracker1=search&fm=Search&iid=en_2QoUo5K34gYrl_JLVq2lq0Ls6n6U-ZwiJH-HP4enHyT-dZmST4WQYvKco_qTLRz1112_r9xiybP_uxc2Utuj7_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,"Mercury-11 Black Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,832,0.2,4.2,93678
https://www.flipkart.com/campus-raye-women-s-sports-shoes-pillofoam-comfort-cushioned-memory-insole-lace-up-running-women/p/itm5709db7a05836?pid=SHOHF5HFKGFHFNWY&lid=LSTSHOHF5HFKGFHFNWYQP3PBZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_54&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOHF5HFKGFHFNWY.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,RAYE Women's Sports Shoes | PilloFoam Comfort & Cushioned Memory Insole |Lace-Up Running Shoes For Women,CAMPUS ,999,0.5,4.4,4773
https://www.flipkart.com/roadster-sneakers-women/p/itm0291815971768?pid=SHOGRNN629HKSY5Z&lid=LSTSHOGRNN629HKSY5ZDSCIVU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_59&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOGRNN629HKSY5Z.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,Sneakers For Women,Roadster ,799,0.8,3.8,8366
